
===== Training for class range (0, 49) =====
[Range (40, 89)] Epoch 4/10 | Train Loss: 0.6072 | Val Loss: 1.2533
❌ No improvement, best val loss still 1.1370
[Range (40, 89)] Epoch 5/10 | Train Loss: 0.5515 | Val Loss: 1.4006
❌ No improvement, best val loss still 1.1370
[Range (40, 89)] Epoch 6/10 | Train Loss: 0.5029 | Val Loss: 1.3433
❌ No improvement, best val loss still 1.1370
[Range (40, 89)] Epoch 7/10 | Train Loss: 0.4691 | Val Loss: 1.4201
❌ No improvement, best val loss still 1.1370
[Range (40, 89)] Epoch 8/10 | Train Loss: 0.4369 | Val Loss: 1.4493
❌ No improvement, best val loss still 1.1370
[Range (40, 89)] Epoch 9/10 | Train Loss: 0.4193 | Val Loss: 1.4972
❌ No improvement, best val loss still 1.1370
[Range (40, 89)] Epoch 10/10 | Train Loss: 0.3935 | Val Loss: 1.5122
❌ No improvement, best val loss still 1.1370

===== Training for class range (50, 99) =====

[Range (50, 99)] Epoch 1/10 | Train Loss: 1.5293 | Val Loss: 0.8489
✅ New best val loss: 0.8489, saved checkpoint: /home/jag/codes/CLU/obd/checkpoint/best_range50-99.pth
[Range (50, 99)] Epoch 2/10 | Train Loss: 0.7222 | Val Loss: 0.8079
✅ New best val loss: 0.8079, saved checkpoint: /home/jag/codes/CLU/obd/checkpoint/best_range50-99.pth
[Range (50, 99)] Epoch 3/10 | Train Loss: 0.5866 | Val Loss: 0.7655
✅ New best val loss: 0.7655, saved checkpoint: /home/jag/codes/CLU/obd/checkpoint/best_range50-99.pth
[Range (50, 99)] Epoch 4/10 | Train Loss: 0.4963 | Val Loss: 0.8149
❌ No improvement, best val loss still 0.7655
[Range (50, 99)] Epoch 5/10 | Train Loss: 0.4335 | Val Loss: 0.8030
❌ No improvement, best val loss still 0.7655
[Range (50, 99)] Epoch 6/10 | Train Loss: 0.3853 | Val Loss: 0.8145
❌ No improvement, best val loss still 0.7655
[Range (50, 99)] Epoch 7/10 | Train Loss: 0.3487 | Val Loss: 0.8659
❌ No improvement, best val loss still 0.7655
[Range (50, 99)] Epoch 8/10 | Train Loss: 0.3234 | Val Loss: 0.8390
❌ No improvement, best val loss still 0.7655
[Range (50, 99)] Epoch 9/10 | Train Loss: 0.3012 | Val Loss: 0.9025
❌ No improvement, best val loss still 0.7655
[Range (50, 99)] Epoch 10/10 | Train Loss: 0.2831 | Val Loss: 0.8938
❌ No improvement, best val loss still 0.7655
